office_name,pincode,district,state,locality,office_type,delivery,division,region,circle
Saravanampatti,641035,Coimbatore,Tamil Nadu,Saravanampatti,Sub Office,Delivery,Coimbatore,Coimbatore,Tamil Nadu
Saravanampatti East,641035,Coimbatore,Tamil Nadu,Saravanampatti,Branch Office,Delivery,Coimbatore,Coimbatore,Tamil Nadu
Kovaipudur,641042,Coimbatore,Tamil Nadu,Kovaipudur,Sub Office,Delivery,Coimbatore,Coimbatore,Tamil Nadu
Peelamedu,641004,Coimbatore,Tamil Nadu,Peelamedu,Sub Office,Delivery,Coimbatore,Coimbatore,Tamil Nadu
RS Puram,641002,Coimbatore,Tamil Nadu,RS Puram,Head Office,Delivery,Coimbatore,Coimbatore,Tamil Nadu
Gandhipuram,641012,Coimbatore,Tamil Nadu,Gandhipuram,Head Office,Delivery,Coimbatore,Coimbatore,Tamil Nadu
Coimbatore GPO,641001,Coimbatore,Tamil Nadu,Coimbatore,GPO,Delivery,Coimbatore,Coimbatore,Tamil Nadu
Singanallur,641005,Coimbatore,Tamil Nadu,Singanallur,Sub Office,Delivery,Coimbatore,Coimbatore,Tamil Nadu
Ukkadam,641001,Coimbatore,Tamil Nadu,Ukkadam,Sub Office,Delivery,Coimbatore,Coimbatore,Tamil Nadu
Ganapathy,641006,Coimbatore,Tamil Nadu,Ganapathy,Sub Office,Delivery,Coimbatore,Coimbatore,Tamil Nadu
Vadavalli,641041,Coimbatore,Tamil Nadu,Vadavalli,Sub Office,Delivery,Coimbatore,Coimbatore,Tamil Nadu
Kuniyamuthur,641008,Coimbatore,Tamil Nadu,Kuniyamuthur,Sub Office,Delivery,Coimbatore,Coimbatore,Tamil Nadu
Podanur,641023,Coimbatore,Tamil Nadu,Podanur,Sub Office,Delivery,Coimbatore,Coimbatore,Tamil Nadu
Mettupalayam,641301,Coimbatore,Tamil Nadu,Mettupalayam,Sub Office,Delivery,Coimbatore,Coimbatore,Tamil Nadu
Pollachi,642001,Coimbatore,Tamil Nadu,Pollachi,Head Office,Delivery,Coimbatore,Coimbatore,Tamil Nadu
Sulur,641401,Coimbatore,Tamil Nadu,Sulur,Sub Office,Delivery,Coimbatore,Coimbatore,Tamil Nadu
Thondamuthur,641109,Coimbatore,Tamil Nadu,Thondamuthur,Branch Office,Delivery,Coimbatore,Coimbatore,Tamil Nadu
Kalapatti,641048,Coimbatore,Tamil Nadu,Kalapatti,Branch Office,Delivery,Coimbatore,Coimbatore,Tamil Nadu
Neelambur,641062,Coimbatore,Tamil Nadu,Neelambur,Branch Office,Delivery,Coimbatore,Coimbatore,Tamil Nadu
Vellalore,641111,Coimbatore,Tamil Nadu,Vellalore,Branch Office,Delivery,Coimbatore,Coimbatore,Tamil Nadu
Sowripalayam,641028,Coimbatore,Tamil Nadu,Sowripalayam,Branch Office,Delivery,Coimbatore,Coimbatore,Tamil Nadu
Ondipudur,641016,Coimbatore,Tamil Nadu,Ondipudur,Branch Office,Delivery,Coimbatore,Coimbatore,Tamil Nadu
Rathinapuri,641027,Coimbatore,Tamil Nadu,Rathinapuri,Sub Office,Delivery,Coimbatore,Coimbatore,Tamil Nadu
Pappanaickenpalayam,641037,Coimbatore,Tamil Nadu,Pappanaickenpalayam,Sub Office,Delivery,Coimbatore,Coimbatore,Tamil Nadu
